id,UMAP1,UMAP2,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,DM11,DM12,DM13,DM14,DM15,DM16,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30
"021,001",22.7071,-8.6614,-0.0065,0.0779,0.0982,-0.0070,-0.0691,-0.1035,-0.0861,0.0161,-0.0420,0.0412,-0.0013,0.1781,0.1374,0.1699,0.0189,0.0685,-0.0558,0.2085,0.0917,-0.2302,0.0928,-0.2119,-0.0352,0.0440,-0.1783,0.0939,-0.1021,-0.0749,0.1548,-0.0458
"022a,001",-32.0023,1.0494,0.2879,-0.0146,0.0064,0.0267,-0.4838,0.1973,0.2699,-0.1616,0.0015,-0.0895,-0.0079,-0.0866,-0.0700,-0.0778,-0.1206,0.2468,0.2460,-0.0949,-0.0578,0.1269,0.3326,-0.1859,-0.2315,0.1886,0.1100,0.1248,0.0889,-0.2047,-0.0457,0.0439
"025,001a",-17.7839,11.5508,0.1552,-0.0798,0.0155,0.0211,-0.1597,0.0283,0.1146,0.1196,0.1213,-0.0314,0.1081,-0.1532,0.0061,-0.1559,0.0192,0.1204,0.1223,-0.0404,-0.0071,0.0603,-0.0819,-0.0344,0.0579,-0.1035,-0.3629,-0.1177,-0.1748,0.0085,0.0524,0.0563
"027,003",25.1136,0.9072,-0.3241,0.1784,0.1717,-0.0960,-0.0039,0.0575,-0.0537,0.0213,-0.1338,-0.0971,-0.0057,0.1733,0.0357,0.2049,0.0490,-0.1139,-0.1098,-0.1198,-0.2930,0.0158,-0.1601,-0.0622,0.0872,0.2806,0.0322,0.0145,0.0676,-0.0034,0.0729,0.2043
"027,004",18.6553,-6.5555,0.0055,0.0199,0.0297,0.0143,-0.1088,0.0295,0.0751,0.0632,-0.0853,-0.0697,-0.0484,0.2080,0.0103,0.1060,0.0410,-0.0247,-0.1465,-0.0210,-0.0716,-0.0172,-0.0079,-0.0718,0.1029,0.1520,0.0139,0.0978,-0.0045,-0.1875,-0.0842,-0.0703
"027,004a",24.8516,19.3154,0.1625,0.1284,0.0184,-0.1258,0.0017,-0.0215,-0.0765,0.0152,-0.0325,0.2540,-0.2768,0.2268,0.0224,-0.0699,0.0183,-0.0773,-0.3081,-0.4552,-0.2218,0.1840,-0.3407,-0.1199,0.2563,0.0816,0.0662,-0.0289,0.0202,-0.5364,0.0008,0.5826
"027,006",8.4243,-26.8917,-0.0158,-0.0680,-0.0206,0.0447,0.0301,0.0758,0.0909,0.1138,-0.0643,-0.0330,-0.0150,0.0284,0.0201,0.0445,0.0399,0.0390,0.0251,-0.0189,-0.0160,0.2099,-0.1139,0.3270,-0.1701,0.0924,0.0801,0.2379,0.0537,0.2761,0.0416,0.0667
"028,001",-10.2476,25.0383,0.2339,0.0136,0.0203,-0.0513,-0.1632,-0.0363,-0.0314,0.2157,0.0144,0.1820,0.0356,0.0218,0.0688,-0.2693,0.0597,0.0709,0.1587,-0.0753,-0.0484,-0.1452,0.0959,0.1028,-0.0931,0.1672,0.0274,-0.1101,-0.2074,-0.1723,-0.0577,0.2187
"029,001",-11.1149,40.5284,0.2484,0.1191,0.0653,-0.1596,-0.1153,-0.0203,-0.0711,0.1844,-0.1847,0.3027,-0.0291,-0.0644,0.0050,-0.3793,0.0933,-0.1366,0.1230,-0.3616,-0.4371,-0.0242,0.5963,-0.1438,-0.1247,0.0534,0.2115,0.2760,-0.0718,0.4858,0.1421,0.0364
"029,002",-8.8677,4.6745,0.0177,-0.0090,0.0357,0.0292,0.0271,0.0312,0.0088,0.0573,0.0258,0.1049,-0.1601,-0.0857,0.0701,-0.0807,0.0887,0.0351,0.2311,-0.3262,-0.0837,-0.2544,-0.1035,0.1588,-0.1148,0.0720,-0.0883,-0.5460,-0.5057,0.2435,-0.4291,-0.0009
